
2025/02/18 (13:47:05) | ===> btop++ v.1.4.0
2025/02/18 (13:47:05) | WARNING: Got an invalid integer value for config name: net_download
2025/02/18 (13:47:05) | WARNING: Got an invalid integer value for config name: net_upload

2025/02/18 (13:52:12) | ===> btop++ v.1.4.0
2025/02/18 (13:52:12) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (22:58:13) | ===> btop++ v.1.4.0
2025/02/18 (22:58:13) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (23:24:18) | ===> btop++ v.1.4.0
2025/02/18 (23:24:18) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (23:27:27) | ===> btop++ v.1.4.0
2025/02/18 (23:27:27) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (23:28:33) | ===> btop++ v.1.4.0
2025/02/18 (23:28:33) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (23:37:10) | ===> btop++ v.1.4.0
2025/02/18 (23:37:10) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (23:40:14) | ===> btop++ v.1.4.0
2025/02/18 (23:40:14) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (23:51:53) | ===> btop++ v.1.4.0
2025/02/18 (23:51:53) | WARNING: Invalid graph symbol identifier: default

2025/02/18 (23:58:27) | ===> btop++ v.1.4.0
2025/02/18 (23:58:27) | WARNING: Invalid graph symbol identifier: default

2025/02/20 (13:05:18) | ===> btop++ v.1.4.0
2025/02/20 (13:05:18) | WARNING: Invalid graph symbol identifier: default

2025/02/20 (15:42:02) | ===> btop++ v.1.4.0
2025/02/20 (15:42:02) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (07:32:25) | ===> btop++ v.1.4.0
2025/02/21 (07:32:25) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (12:28:54) | ===> btop++ v.1.4.0
2025/02/21 (12:28:54) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (14:14:38) | ===> btop++ v.1.4.0
2025/02/21 (14:14:38) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (15:55:17) | ===> btop++ v.1.4.0
2025/02/21 (15:55:17) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (16:10:08) | ===> btop++ v.1.4.0
2025/02/21 (16:10:08) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (16:13:36) | ===> btop++ v.1.4.0
2025/02/21 (16:13:36) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (16:20:18) | ===> btop++ v.1.4.0
2025/02/21 (16:20:18) | WARNING: Invalid graph symbol identifier: default

2025/02/21 (21:04:00) | ===> btop++ v.1.4.0
2025/02/21 (21:04:00) | WARNING: Invalid graph symbol identifier: default

2025/02/22 (09:55:16) | ===> btop++ v.1.4.0
2025/02/22 (09:55:16) | WARNING: Invalid graph symbol identifier: default

2025/03/07 (22:40:34) | ===> btop++ v.1.4.0
2025/03/07 (22:40:34) | WARNING: Invalid graph symbol identifier: default

2025/03/07 (23:33:46) | ===> btop++ v.1.4.0
2025/03/07 (23:33:46) | WARNING: Invalid graph symbol identifier: default

2025/03/07 (23:55:59) | ===> btop++ v.1.4.0
2025/03/07 (23:55:59) | WARNING: Invalid graph symbol identifier: default
